station_number,LAT,LONG,EASTING,NORTHING
BadMed01,47.1455223,-95.3739648,320012.3713470,5224069.9152520
BadMed10,47.1373639,-95.3789822,319604.3727915,5223174.9098419
BadMed14,47.1359170,-95.3821460,319359.5728563,5223021.4376564
BadMed16,47.1306163,-95.3866853,318997.3741110,5222442.9192582
BadMed28,47.1145212,-95.4122379,317004.3741953,5220713.9179299
BadMed29,47.1199795,-95.4081605,317332.3688695,5221310.9133488
BadMed30,47.1077269,-95.4182049,316528.3685150,5219972.9151050
BadMed38,47.1030166,-95.4188086,316466.3694159,5219450.9179233
BadMed02,47.1427958,-95.3808865,319478.3743800,5223782.9125061
BadMed03,47.1428017,-95.3762705,319828.3700655,5223772.9115623
BadMed04,47.1399501,-95.3827114,319330.3689329,5223470.9111940
BadMed05,47.1401765,-95.3783164,319664.3726086,5223485.9145274
BadMed06,47.1402065,-95.3742688,319971.3698712,5223479.9127682
BadMed07,47.1369200,-95.3890644,318838.3746398,5223148.9123873
BadMed08,47.1364023,-95.3862718,319048.3699695,5223084.9127561
BadMed09,47.1373202,-95.3828180,319313.3724821,5223178.9179710
BadMed11,47.1327323,-95.3961033,318290.3688637,5222699.9134995
BadMed12,47.1344161,-95.3921832,318593.3678834,5222877.9109791
BadMed13,47.1347915,-95.3884284,318879.3691149,5222910.9147857
BadMed15,47.1318945,-95.3901184,318741.3691594,5222592.9139157
BadMed17,47.1278588,-95.4019234,317832.3691622,5222171.9139013
BadMed18,47.1303209,-95.3990937,318055.3720262,5222438.9135346
BadMed19,47.1295943,-95.3925338,318550.3739247,5222342.9178104
BadMed20,47.1256088,-95.4057908,317531.3706096,5221930.9138029
BadMed21,47.1276244,-95.3963616,318253.3725022,5222132.9152893
BadMed22,47.1227383,-95.4057800,317522.3688551,5221611.9139353
BadMed23,47.1259426,-95.4001757,317958.3723298,5221954.9094001
BadMed24,47.1144902,-95.4090068,317249.3730906,5220702.9126546
BadMed25,47.1227482,-95.4018778,317818.3705816,5221603.9091605
BadMed26,47.1170094,-95.4094633,317223.3748173,5220983.9174338
BadMed27,47.1198049,-95.4040524,317643.3727664,5221281.9170638
BadMed31,47.1103031,-95.4151053,316772.3741254,5220251.9147789
BadMed32,47.1119077,-95.4119880,317014.3680631,5220422.9169912
BadMed33,47.1174977,-95.4067828,317428.3740973,5221031.9124685
BadMed37,47.1056122,-95.4199016,316392.3682794,5219741.9110685
BadMed39,47.1091706,-95.4129056,316935.3671498,5220120.9154352
BadMed40,47.1064821,-95.4149324,316772.3718242,5219826.9148811
BadMed41,47.1041055,-95.4175268,316567.3676726,5219568.9090395
