station_number,LAT,LONG,EASTING,NORTHING
BadMed01,47.14552796,-95.37398834,320010.6058,5224070.598
BadMed10,47.13738602,-95.37898735,319604.0571,5223177.38
BadMed14,47.13587056,-95.3821525,319358.9226,5223016.292
BadMed16,47.13059282,-95.38673198,318993.7544,5222440.418
BadMed28,47.11462424,-95.41218421,317008.8004,5220725.242
BadMed29,47.11997148,-95.4081003,317336.9076,5221309.881
BadMed30,47.10770726,-95.41821386,316527.6212,5219970.754
BadMed38,47.10304984,-95.41891449,316458.4494,5219454.86
BadMed02,47.14290058,-95.38093621,319474.9604,5223794.671
BadMed03,47.14285204,-95.37605969,319844.5234,5223778.019
BadMed04,47.14002811,-95.38271753,319330.1685,5223479.594
BadMed05,47.14026521,-95.37818245,319674.829,5223495.463
BadMed06,47.14017916,-95.37423804,319973.6098,5223476.804
BadMed07,47.13698057,-95.38903816,318840.5701,5223155.582
BadMed08,47.13644245,-95.38621877,319052.5274,5223089.251
BadMed09,47.13731122,-95.38268617,319323.3382,5223177.615
BadMed11,47.13277612,-95.39627281,318277.6639,5222705.177
BadMed12,47.13453363,-95.39220918,318591.7977,5222891.031
BadMed13,47.13474697,-95.38833856,318886.0304,5222905.758
BadMed15,47.13183038,-95.38997291,318752.1842,5222585.451
BadMed17,47.12781081,-95.40195455,317829.8428,5222166.654
BadMed18,47.13039618,-95.39905232,318058.767,5222447.182
BadMed19,47.12959931,-95.39242409,318558.711,5222343.22
BadMed20,47.12569505,-95.4058795,317524.9385,5221940.705
BadMed21,47.12754129,-95.39644632,318246.6641,5222123.877
BadMed22,47.12272916,-95.40584944,317517.0708,5221611.06
BadMed23,47.12598091,-95.40008974,317965.0225,5221958.966
BadMed24,47.11449439,-95.40903154,317247.5107,5220703.436
BadMed25,47.12273124,-95.4018866,317817.6452,5221602.045
BadMed26,47.11710713,-95.40946449,317223.6194,5220994.78
BadMed27,47.11979414,-95.40406475,317642.3992,5221280.75
BadMed31,47.11028729,-95.41515198,316768.7785,5220250.267
BadMed32_1,47.11189856,-95.41198478,317014.581,5220421.894
BadMed33,47.11750348,-95.40669716,317434.89,5221032.355
BadMed37,47.10561862,-95.41991618,316391.2842,5219742.659
BadMed39,47.10911084,-95.41290971,316934.8503,5220114.284
BadMed40,47.10642921,-95.41483159,316779.8386,5219820.801
BadMed41,47.10409051,-95.41749051,316570.0696,5219567.158
