FID,OBJECTID,DEPTH,DOWLKNUM,abs_depth,LAKE_NAME,Shape_Leng,e,n
0,1128902,0,3008500,0,Bad Medicine,19472.02438,319061,5223375
1,1128902,0,3008500,0,Bad Medicine,19472.02438,319061,5223381
2,1128902,0,3008500,0,Bad Medicine,19472.02438,319059,5223384
3,1128902,0,3008500,0,Bad Medicine,19472.02438,319058,5223388
4,1128902,0,3008500,0,Bad Medicine,19472.02438,319056,5223390
5,1128902,0,3008500,0,Bad Medicine,19472.02438,319055,5223392
6,1128902,0,3008500,0,Bad Medicine,19472.02438,319052,5223392
7,1128902,0,3008500,0,Bad Medicine,19472.02438,319051,5223388
8,1128902,0,3008500,0,Bad Medicine,19472.02438,319051,5223383
9,1128902,0,3008500,0,Bad Medicine,19472.02438,319049,5223380
10,1128902,0,3008500,0,Bad Medicine,19472.02438,319046,5223377
11,1128902,0,3008500,0,Bad Medicine,19472.02438,319042,5223375
12,1128902,0,3008500,0,Bad Medicine,19472.02438,319039,5223373
13,1128902,0,3008500,0,Bad Medicine,19472.02438,319036,5223368
14,1128902,0,3008500,0,Bad Medicine,19472.02438,319036,5223363
15,1128902,0,3008500,0,Bad Medicine,19472.02438,319032,5223358
16,1128902,0,3008500,0,Bad Medicine,19472.02438,319025,5223355
17,1128902,0,3008500,0,Bad Medicine,19472.02438,319015,5223354
18,1128902,0,3008500,0,Bad Medicine,19472.02438,319011,5223352
19,1128902,0,3008500,0,Bad Medicine,19472.02438,319002,5223348
20,1128902,0,3008500,0,Bad Medicine,19472.02438,319000,5223345
21,1128902,0,3008500,0,Bad Medicine,19472.02438,318994,5223343
22,1128902,0,3008500,0,Bad Medicine,19472.02438,318985,5223344
23,1128902,0,3008500,0,Bad Medicine,19472.02438,318979,5223345
24,1128902,0,3008500,0,Bad Medicine,19472.02438,318975,5223351
25,1128902,0,3008500,0,Bad Medicine,19472.02438,318971,5223358
26,1128902,0,3008500,0,Bad Medicine,19472.02438,318971,5223364
27,1128902,0,3008500,0,Bad Medicine,19472.02438,318970,5223371
28,1128902,0,3008500,0,Bad Medicine,19472.02438,318969,5223377
29,1128902,0,3008500,0,Bad Medicine,19472.02438,318968,5223383
30,1128902,0,3008500,0,Bad Medicine,19472.02438,318969,5223390
31,1128902,0,3008500,0,Bad Medicine,19472.02438,318971,5223397
32,1128902,0,3008500,0,Bad Medicine,19472.02438,318973,5223403
33,1128902,0,3008500,0,Bad Medicine,19472.02438,318979,5223411
34,1128902,0,3008500,0,Bad Medicine,19472.02438,318985,5223416
35,1128902,0,3008500,0,Bad Medicine,19472.02438,318990,5223421
36,1128902,0,3008500,0,Bad Medicine,19472.02438,318995,5223424
37,1128902,0,3008500,0,Bad Medicine,19472.02438,319003,5223427
38,1128902,0,3008500,0,Bad Medicine,19472.02438,319013,5223431
39,1128902,0,3008500,0,Bad Medicine,19472.02438,319020,5223432
40,1128902,0,3008500,0,Bad Medicine,19472.02438,319028,5223436
41,1128902,0,3008500,0,Bad Medicine,19472.02438,319036,5223437
42,1128902,0,3008500,0,Bad Medicine,19472.02438,319045,5223439
43,1128902,0,3008500,0,Bad Medicine,19472.02438,319056,5223441
44,1128902,0,3008500,0,Bad Medicine,19472.02438,319060,5223441
45,1128902,0,3008500,0,Bad Medicine,19472.02438,319068,5223440
46,1128902,0,3008500,0,Bad Medicine,19472.02438,319075,5223438
